Date,close,Open,High,Low,Vol.
"Sep 04, 2020",10472.5,"10,168.70",10614.2,"9,960.30",12.50M
"Sep 05, 2020",10092.2,"10,472.30",10558.7,"9,897.80",14.72M
"Sep 06, 2020",10296.4,"10,092.20",10337.7,"10,004.70",12.12M
"Sep 07, 2020",10376.9,"10,296.40",10400.9,"9,887.00",12.40M
"Sep 08, 2020",10126.6,"10,376.90",10434.4,"9,877.10",113.90K
"Sep 09, 2020",10224.6,"10,126.80",10343.3,"9,984.60",71.37K
"Sep 10, 2020",10339.7,"10,224.30",10480.3,"10,219.20",88.01K
"Sep 11, 2020",10390.2,"10,339.80",10398.8,"10,212.60",62.28K
"Sep 12, 2020",10441.9,"10,390.20",10476.8,"10,275.90",48.49K
"Sep 13, 2020",10326,"10,441.70",10579.6,"10,219.40",66.12K
"Sep 14, 2020",10675.3,"10,332.70",10744.3,"10,264.50",96.64K
"Sep 15, 2020",10785.3,"10,675.20",10931.8,"10,627.80",91.70K
"Sep 16, 2020",10949.5,"10,785.20",11093.3,"10,669.20",94.94K
"Sep 17, 2020",10941.3,"10,950.10",11039.3,"10,755.20",77.22K
"Sep 18, 2020",10933,"10,941.30",11029.7,"10,818.70",63.48K
"Sep 19, 2020",11081.8,"10,933.00",11177.1,"10,890.70",51.63K
"Sep 20, 2020",10921.5,"11,081.60",11081.6,"10,772.70",53.39K
"Sep 21, 2020",10416.8,"10,919.90",10987.2,"10,328.50",109.85K
"Sep 22, 2020",10531.5,"10,419.40",10570.7,"10,361.70",63.52K
"Sep 23, 2020",10237.3,"10,531.50",10535.4,"10,146.60",74.95K
"Sep 24, 2020",10739.4,"10,238.10",10787.8,"10,201.00",82.95K
"Sep 25, 2020",10688.8,"10,739.90",10756,"10,558.90",71.43K
"Sep 26, 2020",10727.9,"10,688.90",10793.3,"10,650.20",37.85K
"Sep 27, 2020",10776.2,"10,727.90",10799.2,"10,602.70",40.92K
"Sep 28, 2020",10693.2,"10,776.40",10946.6,"10,685.20",72.29K
"Sep 29, 2020",10840.9,"10,694.30",10858.4,"10,642.40",59.64K
"Sep 30, 2020",10776.1,"10,843.40",10847.7,"10,667.60",55.55K
"Oct 01, 2020",10620.5,"10,776.60",10913.7,"10,462.70",95.33K
"Oct 02, 2020",10572.3,"10,619.60",10662.9,"10,387.60",77.94K
"Oct 03, 2020",10544.2,"10,572.20",10597.8,"10,501.20",29.10K
"Oct 04, 2020",10672.9,"10,544.40",10693.3,"10,520.80",31.40K
"Oct 05, 2020",10789.5,"10,672.50",10789.6,"10,623.40",48.86K
"Oct 06, 2020",10602.6,"10,790.20",10800.3,"10,530.80",69.07K
"Oct 07, 2020",10670.9,"10,601.00",10680.1,"10,553.30",49.27K
"Oct 08, 2020",10924.1,"10,670.70",10948.6,"10,549.60",79.78K
"Oct 09, 2020",11054.2,"10,923.50",11103,"10,836.90",70.95K
"Oct 10, 2020",11298.4,"11,053.50",11475,"11,053.10",65.81K
"Oct 11, 2020",11371,"11,295.60",11439.4,"11,277.60",41.06K
"Oct 12, 2020",11533.9,"11,370.80",11715.9,"11,227.40",84.02K
"Oct 13, 2020",11423.8,"11,533.50",11558,"11,315.90",64.67K
"Oct 14, 2020",11420.4,"11,424.40",11541,"11,293.50",59.12K
"Oct 15, 2020",11503,"11,421.40",11590.9,"11,276.70",70.84K
"Oct 16, 2020",11322,"11,503.20",11542.2,"11,224.60",71.42K
"Oct 17, 2020",11362.1,"11,321.80",11402.7,"11,274.40",29.86K
"Oct 18, 2020",11506.9,"11,362.10",11506.9,"11,349.80",31.51K
"Oct 19, 2020",11753.4,"11,507.10",11823.3,"11,413.90",73.04K
"Oct 20, 2020",11913.5,"11,753.90",12029.4,"11,685.70",94.59K
"Oct 21, 2020",12808.7,"11,913.60",13213.5,"11,894.60",197.72K
"Oct 22, 2020",12974.6,"12,805.50",13183.9,"12,698.20",113.31K
"Oct 23, 2020",12934.1,"12,972.70",13025.5,"12,738.90",73.94K
"Oct 24, 2020",13117.2,"12,933.60",13161.5,"12,876.40",51.20K
"Oct 25, 2020",13032.2,"13,117.00",13345.3,"12,900.40",59.73K
"Oct 26, 2020",13061.6,"13,033.00",13229.7,"12,792.40",89.47K
"Oct 27, 2020",13657.8,"13,061.50",13782.3,"13,050.30",128.64K
"Oct 28, 2020",13278.9,"13,658.30",13851.7,"12,907.60",144.18K
"Oct 29, 2020",13457.2,"13,278.30",13640,"12,982.90",111.23K
"Oct 30, 2020",13559.9,"13,457.00",13667.9,"13,134.50",108.77K
"Oct 31, 2020",13797.3,"13,560.20",14065.4,"13,441.70",102.75K
"Nov 01, 2020",13759.4,"13,795.50",13889.5,"13,628.70",51.71K
"Nov 02, 2020",13561.4,"13,759.70",13828.4,"13,214.20",97.76K
"Nov 03, 2020",14019.9,"13,560.50",14054,"13,294.60",108.17K
"Nov 04, 2020",14145.6,"14,023.00",14238.8,"13,544.40",140.80K
"Nov 05, 2020",15587.1,"14,145.60",15739.9,"14,099.70",227.49K
"Nov 06, 2020",15577.9,"15,593.90",15955.2,"15,223.50",186.13K
"Nov 07, 2020",14828.4,"15,578.20",15754.4,"14,385.10",160.73K
"Nov 08, 2020",15483.7,"14,826.60",15648.3,"14,720.70",94.99K
"Nov 09, 2020",15327.2,"15,483.30",15819.6,"14,816.90",165.04K
"Nov 10, 2020",15303.6,"15,328.00",15465.3,"15,096.50",93.36K
"Nov 11, 2020",15695.8,"15,303.10",15953.9,"15,281.00",119.07K
"Nov 12, 2020",16294.7,"15,695.80",16342.7,"15,483.50",165.54K
"Nov 13, 2020",16324.2,"16,293.00",16474.1,"15,973.40",113.75K
"Nov 14, 2020",16071,"16,323.10",16328.2,"15,717.70",83.64K
"Nov 15, 2020",15953,"16,074.70",16158.1,"15,782.30",58.43K
"Nov 16, 2020",16715.8,"15,954.10",16880.7,"15,870.70",118.09K
"Nov 17, 2020",17662.3,"16,715.80",17845.4,"16,562.00",175.87K
"Nov 18, 2020",17774.6,"17,662.30",18466.1,"17,258.90",233.43K
"Nov 19, 2020",17803.5,"17,775.10",18166,"17,380.10",135.94K
"Nov 20, 2020",18675.2,"17,805.50",18811,"17,758.40",134.42K
"Nov 21, 2020",18687.2,"18,673.80",18966,"18,397.50",108.91K
"Nov 22, 2020",18412.9,"18,689.30",18751.5,"17,644.60",121.76K
"Nov 23, 2020",18379.6,"18,428.10",18756.8,"18,016.00",127.35K
"Nov 24, 2020",19152.6,"18,394.60",19416.6,"18,074.80",180.79K
"Nov 25, 2020",18723,"19,151.50",19486.7,"18,527.70",146.12K
"Nov 26, 2020",17162,"18,721.90",18894.9,"16,235.20",312.07K
"Nov 27, 2020",17127.1,"17,160.90",17450.3,"16,481.60",138.80K
"Nov 28, 2020",17730.7,"17,142.60",17874.4,"16,874.40",95.20K
"Nov 29, 2020",18185.5,"17,729.70",18336.3,"17,530.40",79.12K
"Nov 30, 2020",19698.1,"18,186.00",19831.2,"18,186.00",185.59K
"Dec 01, 2020",18770.7,"19,697.80",19897.4,"18,257.00",208.72K
"Dec 02, 2020",19218.8,"18,767.90",19335.5,"18,346.70",91.92K
"Dec 03, 2020",19433.3,"19,219.80",19596.6,"18,883.70",99.97K
"Dec 04, 2020",18658.1,"19,431.10",19529.5,"18,610.80",110.63K
"Dec 05, 2020",19146.5,"18,657.50",19172.7,"18,507.10",59.44K
"Dec 06, 2020",19379.9,"19,146.00",19417.1,"18,873.00",54.56K
"Dec 07, 2020",19170.7,"19,368.40",19424.6,"18,908.80",61.98K
"Dec 08, 2020",18326.6,"19,170.80",19288.6,"18,229.20",101.41K
"Dec 09, 2020",18546,"18,322.40",18637.9,"17,658.80",129.72K
"Dec 10, 2020",18247.2,"18,546.10",18551.8,"17,926.80",85.31K
"Dec 11, 2020",18023.6,"18,250.50",18288.3,"17,600.10",111.53K
"Dec 12, 2020",18808.9,"18,026.70",18936.2,"18,025.10",71.37K
"Dec 13, 2020",19176.8,"18,808.10",19403.6,"18,716.80",82.45K
"Dec 14, 2020",19273.8,"19,176.40",19346.5,"19,007.00",67.11K
"Dec 15, 2020",19434.9,"19,273.90",19556.3,"19,076.20",98.39K
"Dec 16, 2020",21352.2,"19,434.70",21525.3,"19,299.70",199.81K
"Dec 17, 2020",22825.4,"21,352.30",23738,"21,243.10",310.74K
"Dec 18, 2020",23127.9,"22,823.30",23272.8,"22,361.50",131.80K
"Dec 19, 2020",23844,"23,127.60",24107.1,"22,797.00",133.88K
"Dec 20, 2020",23474.9,"23,843.60",24280.9,"23,098.90",114.09K
"Dec 21, 2020",22728.5,"23,474.10",24101.9,"22,015.50",154.69K
"Dec 22, 2020",23823.2,"22,730.40",23825.4,"22,388.60",130.75K
"Dec 23, 2020",23257.9,"23,820.80",24063.7,"22,694.70",178.47K
"Dec 24, 2020",23736.5,"23,253.20",23783.7,"22,737.30",104.59K
"Dec 25, 2020",24689.6,"23,728.70",24778.9,"23,445.30",2.40K
"Dec 26, 2020",26454.4,"24,714.70",26826,"24,515.10",155.77K
"Dec 27, 2020",26261.3,"26,460.30",28360.3,"25,858.20",231.23K
"Dec 28, 2020",27057.8,"26,259.20",27444.9,"26,144.30",126.98K
"Dec 29, 2020",27376,"27,065.30",27390.7,"25,902.80",119.57K
"Dec 30, 2020",28868.7,"27,374.50",28979.3,"27,374.50",159.82K
"Dec 31, 2020",28949.4,"28,866.80",29298.8,"28,025.00",136.69K
"Jan 01, 2021",29359.9,"28,951.70",29627.1,"28,712.40",100.90K
"Jan 02, 2021",32193.3,"29,359.70",33233.5,"29,008.00",240.87K
