Date,Price,Open,High,Low,Vol.,Change %,Gini,Kvalue,Standard_Deviation,Skewness,Kurtosis
2011-04-15,1.0,1.0,1.1,0.9,50.31K,0.00%,0.7188228438228439,0.7740384615384616,0.0999999999999992,0.15418175111017376,12072.562000232001
2011-04-16,1.0,1.0,1.1,1.0,28.87K,6.07%,0.7215007215007216,0.7761904761904762,0.08366600265340648,-0.5614178871908108,15055.819098072037
2011-04-17,1.1,1.0,1.1,1.0,24.23K,5.71%,0.7147613762486127,0.7688679245283019,0.05477225575051469,-3.644998943528946,-1718668.6309620058
2011-04-18,1.2,1.1,1.2,1.1,27.48K,0.00%,0.7081441922563418,0.7710280373831775,0.10954451150103196,1.0814891377201041,-81370.06045592892
2011-04-19,1.2,1.2,1.2,1.1,12.56K,0.00%,0.710846560846561,0.7731481481481481,0.2387467277262656,1.2614276931191237,103.60540000512795
2011-04-20,1.1,1.2,1.2,1.1,21.35K,-5.00%,0.7043832823649339,0.7660550458715596,0.2549509756796383,-0.007531817488600487,-435.9817576735249
2011-04-21,1.2,1.1,1.2,1.1,39.30K,6.14%,0.6980343980343982,0.759090909090909,0.19999999999999857,-0.9330504684727022,4505.038085824451
2011-04-22,1.4,1.2,1.4,1.2,39.42K,16.53%,0.6985446985446986,0.7612612612612613,0.14832396974191084,-0.5386577117116963,8528.438729016965
2011-04-23,1.7,1.4,2.0,1.3,66.62K,20.57%,0.7053571428571429,0.7633928571428572,0.1303840481040496,0.4428501170766586,-28529.230449996157
2011-04-24,1.6,1.7,2.0,1.6,21.54K,-4.12%,0.699320847911093,0.7566371681415929,0.24899799195977262,0.9154464806513481,-1440.9316191742528
2011-04-25,1.6,1.6,1.7,1.5,13.47K,-4.29%,0.7019583843329253,0.7587719298245614,0.5069516742254616,1.324645948652119,-130.6062965019686
2011-04-26,1.8,1.6,1.8,1.5,24.05K,14.74%,0.7010628019323673,0.7521739130434782,0.7231873892705805,0.8042737216796957,43.1632893346399
2011-04-27,1.9,1.8,2.0,1.7,33.06K,6.15%,0.6952773613193405,0.7543103448275862,0.6442049363362546,-0.13963017375989328,55.11269834630977
2011-04-28,2.2,1.9,2.7,1.7,100.24K,16.32%,0.6998081283795571,0.7564102564102564,0.48270073544588443,-0.9982375403596959,-493.99445973848265
2011-04-29,2.9,2.2,3.0,2.2,57.58K,30.32%,0.7236682808716708,0.7584745762711864,0.25495097567963454,-0.012340034164973698,-1462.2643788100052
2011-04-30,3.5,2.9,4.2,2.8,65.43K,21.53%,0.7367850365952833,0.7605042016806722,0.19999999999999382,-0.9278749007729638,76.58806715363247
2011-05-01,3.0,3.5,3.9,2.5,45.77K,-13.43%,0.7431592039800996,0.7625,0.1673320053068078,-1.11304425619525,-5633.28058222404
2011-05-02,3.2,3.0,3.5,3.0,18.33K,5.61%,0.7397293088992694,0.7644628099173554,0.11401754250990287,-0.40543970989967615,-20850.813263062846
2011-05-03,3.4,3.2,3.5,3.1,16.92K,6.56%,0.7362041099053336,0.7581967213114753,0.1140175425099027,0.33447403512473084,-32244.823682649963
2011-05-04,3.4,3.4,3.6,3.3,17.28K,0.00%,0.7383487919386236,0.7601626016260163,0.23021728866442095,1.0362601018566937,1137.6438419435167
2011-05-05,3.3,3.4,3.5,3.3,15.35K,-2.35%,0.733646953405018,0.7620967741935484,0.2387467277262606,-0.20613315707148477,296.657614969059
2011-05-06,3.5,3.3,3.6,3.3,23.02K,3.60%,0.7301621621621621,0.756,0.9523654760647283,2.083366616702006,-0.4108795746316467
2011-05-07,3.6,3.5,3.7,3.4,17.83K,5.51%,0.7256084656084657,0.7579365079365079,1.0425929215182674,0.6057290008113766,-9.637004535740589
2011-05-08,3.9,3.6,3.9,3.6,21.13K,6.32%,0.7246113466585906,0.7598425196850394,1.1414902540100793,-0.32593337480194556,4.736834461467841
2011-05-09,3.8,3.9,3.9,3.7,11.52K,-1.81%,0.7202333860759494,0.75390625,1.5833508770957858,0.2417113320048359,-0.7076387840486215
2011-05-10,5.8,3.8,6.0,3.8,56.22K,52.89%,0.7645446715214157,0.7713178294573644,1.1022703842524273,0.7597662367793242,-1.3286899876114393
2011-05-11,5.5,5.8,6.1,4.6,52.57K,-5.34%,0.7619909502262443,0.7730769230769231,1.0114346246792194,0.00098557384456269,-4.721338752745647
2011-05-12,6.3,5.5,6.5,5.2,31.72K,14.55%,0.7679389312977097,0.7748091603053435,0.7733045971672433,-0.21964616644990737,-18.0850614352907
2011-05-13,8.2,6.3,8.4,6.3,64.00K,30.16%,0.7896993187690862,0.7916666666666666,0.5403702434442443,0.576217982271073,-123.27993000199099
2011-05-14,7.2,8.2,8.9,5.8,55.39K,-12.20%,0.7938551414507491,0.7932330827067668,0.43358966777356783,1.7429495387218514,218.23183390790064
2011-05-15,7.0,7.2,7.8,6.2,18.30K,-2.92%,0.7903567270032814,0.794776119402985,0.4816637831516849,1.747196993280064,-186.83769610773868
2011-05-16,8.0,7.0,8.5,6.8,44.14K,14.88%,0.7932303164091243,0.7962962962962963,0.8660254037844354,-0.5389290583996161,1.6122347117006168
2011-05-17,7.2,8.0,8.4,7.0,35.35K,-10.46%,0.7932389937106918,0.7977941176470589,0.6534523701081784,-0.6898556949789719,-49.20543498023252
2011-05-18,6.9,7.2,7.5,6.6,25.40K,-4.31%,0.7900333423447778,0.7992700729927007,0.5540758070877991,-0.974518527091142,-240.54703964812666
2011-05-19,6.8,6.9,7.3,6.6,24.44K,-1.02%,0.7874544322930559,0.8007246376811594,0.6300793600809313,-0.5321740311934868,16.920229080693144
2011-05-20,5.6,6.8,7.1,5.6,44.46K,-17.91%,0.7907913669064748,0.802158273381295,0.7516648189186427,-0.3883040428695582,-3.913179406957043
2011-05-21,6.1,5.6,6.5,5.6,31.11K,9.48%,0.7883333333333333,0.8035714285714286,0.856154191720157,0.41975696428799214,-6.316441311393473
2011-05-22,6.7,6.1,6.8,6.0,23.87K,9.31%,0.7861663997559674,0.8049645390070922,0.8717797887081318,0.3282127174603387,-18.250299662056808
2011-05-23,7.2,6.7,7.4,6.7,35.28K,6.88%,0.783459921834673,0.8063380281690141,0.7127411872482144,-0.45136338868649983,108.25339038103128
2011-05-24,7.4,7.2,7.5,7.0,29.28K,3.78%,0.7805355266495162,0.8006993006993006,0.5263078946776251,-1.5088693416950931,73.82200590394207
2011-05-25,8.4,7.4,9.3,7.2,64.05K,13.21%,0.7806855500821017,0.8090277777777778,0.19235384061669691,1.5442704536213891,3648.8682344202475
2011-05-26,8.8,8.4,9.0,8.0,28.65K,4.76%,0.7777444611027818,0.8034482758620689,0.23021728866441207,0.19812090340252544,309.4410673314489
2011-05-27,8.5,8.8,8.8,8.5,14.43K,-3.41%,0.7746901500326157,0.8047945205479452,0.20736441353326077,0.17187186757441805,-10286.150097058025
2011-05-28,8.3,8.5,8.7,8.1,12.25K,-2.35%,0.7719163136952895,0.7993197278911565,0.5128352561983148,1.385329594655467,55.18848918245027
2011-05-29,8.4,8.3,8.5,8.1,7.49K,1.57%,0.7700482172313158,0.8006756756756757,0.8899438184514727,1.1332731603578843,6.388437245101268
2011-05-30,8.8,8.4,9.0,8.3,17.68K,4.39%,0.7671419292982402,0.7953020134228188,2.309761892490216,1.6840847683043896,2.592560026893859
2011-05-31,8.7,8.8,9.5,8.1,45.79K,-0.68%,0.7653211009174311,0.7966666666666666,4.202023322162785,1.1164776413507151,0.1754129671031753
2011-06-01,9.6,8.7,9.7,8.3,43.48K,9.50%,0.764711030720308,0.7980132450331126,3.946770831958699,0.061893947489433186,-2.1568661168188874
2011-06-02,10.6,9.6,10.9,9.5,41.05K,10.76%,0.7644070619586941,0.799342105263158,3.4278273002005153,-0.9701625190184345,-0.10587101307651399
2011-06-03,14.3,10.6,14.5,10.6,72.98K,34.81%,0.7853632937359859,0.8071895424836601,3.542315626818133,0.7839732847035392,1.4745727796679848
2011-06-04,18.9,14.3,18.9,14.0,44.48K,32.19%,0.8053571428571428,0.8214285714285714,5.2480472558847975,1.1054642367521934,0.15331997317280135
2011-06-05,16.7,18.9,19.0,16.2,24.28K,-11.59%,0.8080362195812111,0.8225806451612903,5.868730697518838,-0.13025574047809446,-2.7210181673317972
2011-06-06,18.5,16.7,19.2,16.5,55.09K,11.08%,0.8082264957264957,0.8237179487179487,4.495219683174554,-0.5295776043465882,-0.42206847356912885
2011-06-07,23.9,18.5,24.3,18.3,53.72K,28.95%,0.8223945352164681,0.8312101910828026,5.990409001061609,-1.2084949723643816,1.5383957941005793
2011-06-08,29.6,23.9,31.9,22.2,104.93K,23.75%,0.8329839554946383,0.8386075949367089,6.521272881884331,-0.3774110630516801,-2.0545010177897516
2011-06-09,28.9,29.6,31.5,26.1,62.93K,-2.30%,0.8302413094392254,0.839622641509434,5.47567347456,0.4643214127346157,-0.27377387538018993
2011-06-10,24.0,28.9,29.4,20.0,92.21K,-17.19%,0.8353771347248578,0.840625,3.3560393323082525,0.08514611491006809,1.7369882623273962
2011-06-11,14.6,24.0,24.0,13.0,121.87K,-38.83%,0.8496814394734999,0.8540372670807453,2.1454603235669576,-1.97252591059,3.845878347256059
2011-06-12,18.5,14.6,25.0,10.3,151.19K,26.62%,0.8494201271979049,0.8549382716049383,1.125610945220428,-1.371890562842879,-2.1907468673954043
2011-06-13,19.8,18.5,24.5,16.0,73.42K,6.95%,0.8467716205252555,0.8496932515337423,1.8119050747762802,-0.8471206499968791,-1.5165396016749497
2011-06-14,19.3,19.8,20.5,18.0,36.16K,-2.82%,0.8447909921577091,0.850609756097561,1.6528762809115658,0.15955775646749507,-0.8371338089512091
2011-06-15,19.5,19.3,20.0,19.0,27.71K,1.09%,0.8437967914438502,0.8454545454545455,1.3863621460498896,0.9393850969805781,0.7387739519500715
2011-06-16,17.0,19.5,19.9,17.0,49.20K,-12.78%,0.8418439716312056,0.8463855421686748,0.7362064927722809,-1.4873951682205804,40.462160828113696
2011-06-17,15.7,17.0,18.3,13.0,108.62K,-7.76%,0.8391740196487248,0.847305389221557,0.7823042886243561,-1.714399569183593,13.020746008209265
2011-06-18,16.9,15.7,17.0,15.1,35.54K,7.72%,0.8364644487932159,0.8422619047619048,0.2683281573000686,-2.2378917755558714,-202.45679895790644
2011-06-19,17.5,16.9,18.9,16.9,30.18K,3.67%,0.8343516851041934,0.8431952662721893,2.1638774471666832e-07,,
2011-06-20,17.5,17.5,17.5,17.5,-,0.00%,0.8353260869565217,0.8441176470588235,2.1638774471666832e-07,,
2011-06-21,17.5,17.5,17.5,17.5,-,0.00%,0.8362890922959573,0.8450292397660819,2.1638774471666832e-07,,
2011-06-22,17.5,17.5,17.5,17.5,-,0.00%,0.8372408998988877,0.8459302325581395,0.44721359550001666,-2.234567699714052,129.2046602564449
2011-06-23,17.5,17.5,17.5,17.5,-,0.00%,0.838181703945715,0.8410404624277457,0.4774934554525918,-0.8289563646217231,-23.493138838013966
2011-06-24,17.5,17.5,17.5,17.5,-,0.00%,0.8391116941529235,0.8419540229885057,0.439317652729843,-0.11582852101343041,-201.97982162916313
2011-06-25,17.5,17.5,17.5,17.5,-,0.00%,0.8400310559006211,0.8428571428571429,0.36469165057629377,0.7531053199287637,-208.16007080536394
2011-06-26,16.5,17.5,17.5,14.0,15.05K,-6.05%,0.837420789666098,0.84375,0.3646916505763021,-1.073119700693558,-892.7520465841998
2011-06-27,16.8,16.5,18.0,15.0,31.45K,1.82%,0.8361581920903955,0.844632768361582,0.6804410334482142,-1.1169661341897703,1.4185469833904374
2011-06-28,17.0,16.8,17.5,16.5,24.40K,1.19%,0.8352982540133754,0.8398876404494382,0.7765307463327397,0.10561025894139864,-48.7233052020978
2011-06-29,16.9,17.0,17.2,16.7,21.04K,-0.59%,0.8350172352311898,0.840782122905028,0.6655824516918172,1.34560215700567,-59.86987787818248
2011-06-30,16.1,16.9,17.0,15.7,34.96K,-4.45%,0.8326461988304095,0.8416666666666667,0.808084154033543,-1.3880762570508698,2.1577321508974827
2011-07-01,15.4,16.1,16.7,15.3,33.28K,-4.35%,0.8304004264300172,0.8370165745856353,1.151086443322187,-1.0161960099473004,-2.148426718044874
2011-07-02,15.4,15.4,15.8,15.3,19.45K,0.00%,0.8313322922188633,0.8379120879120879,1.0756393447620467,-0.8531493364512305,11.108227332257973
2011-07-03,15.4,15.4,15.7,15.3,16.79K,0.00%,0.8322539736821482,0.8387978142076503,0.9762171889493283,-0.8578958898926489,-17.13389126167091
2011-07-04,13.9,15.4,15.5,13.1,52.28K,-10.23%,0.8297703769598577,0.8396739130434783,0.7893034904269302,-1.1365326446534092,13.675047337193073
2011-07-05,12.9,13.9,15.0,11.0,84.08K,-6.85%,0.8272044772044773,0.8351351351351352,0.7829431652426195,-1.7799476597594395,19.046067603822053
2011-07-06,14.8,12.9,16.5,12.7,111.82K,14.48%,0.8248876337456744,0.8360215053763441,0.27018512172234455,-0.585150005620987,-223.6032049032234
2011-07-07,14.8,14.8,15.9,14.5,54.47K,0.00%,0.8258240635117402,0.8368983957219251,0.3114482300481445,0.43369929934761653,-187.21702589144954
2011-07-08,14.3,14.8,15.6,13.9,34.85K,-3.18%,0.8240639340842719,0.8324468085106382,0.33615472627962056,1.1574366374976566,-910.1518596239267
2011-07-09,14.4,14.3,14.7,14.0,11.91K,0.49%,0.8238814089487284,0.8333333333333333,0.39623225512334165,1.0910758879354656,-161.02604188953907
