Time, I, Bit coin,Price
293, 0.107623, 55.749996, 0.542178
294, 0.097553, 61.504803, 0.542178
295, 0.094544, 63.462688, 0.542178
296, 0.103145, 58.170662, 0.542178
297, 0.100655, 59.609264, 0.542178
298, 0.104604, 57.359268, 0.542178
299, 0.101914, 58.873196, 0.542178
300, 0.100325, 59.805416, 0.542178
301, 0.097035, 61.833332, 0.542178
302, 0.091800, 65.359604, 0.542178
303, 0.101093, 59.351089, 0.542122
304, 0.098238, 61.075905, 0.542122
305, 0.087457, 68.605064, 0.542122
306, 0.083522, 71.837723, 0.542121
307, 0.083816, 71.585014, 0.542122
308, 0.096655, 62.076164, 0.542121
309, 0.090943, 65.975601, 0.542122
310, 0.087884, 68.272011, 0.542122
311, 0.085708, 70.005043, 0.542116
312, 0.081479, 73.638428, 0.542116
313, 0.083629, 71.745453, 0.542116
314, 0.083650, 71.727203, 0.542116
315, 0.077062, 77.859695, 0.542116
316, 0.079816, 75.173203, 0.542116
317, 0.076548, 78.382133, 0.542116
318, 0.072297, 82.991035, 0.542133
319, 0.090049, 66.630714, 0.542133
320, 0.070144, 85.538780, 0.542133
321, 0.071422, 84.007561, 0.542133
322, 0.068373, 87.754120, 0.542103
323, 0.070468, 85.145332, 0.542103
324, 0.078749, 76.191879, 0.542110
325, 0.076736, 78.190346, 0.542110
326, 0.072148, 83.162247, 0.542109
327, 0.070978, 84.533432, 0.542109
328, 0.068164, 88.022995, 0.542109
329, 0.071894, 83.456703, 0.542109
330, 0.079340, 75.624222, 0.542109
331, 0.072712, 82.517662, 0.542109
332, 0.072996, 82.196205, 0.542109
333, 0.059164, 101.412392, 0.542109
334, 0.066101, 90.770699, 0.542109
335, 0.071846, 83.511856, 0.542109
336, 0.066408, 90.350723, 0.542072
337, 0.058272, 102.965302, 0.542072
338, 0.061591, 97.417412, 0.542069
339, 0.056894, 105.459526, 0.542069
340, 0.054379, 110.337440, 0.542069
341, 0.061783, 97.114075, 0.542069
342, 0.057025, 105.216812, 0.542069
343, 0.045140, 132.921066, 0.542068
344, 0.049800, 120.481918, 0.542126
